program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,563,2025-07-10 15:31:24.284113,21,0.0001678978379824,4,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2582204.421,1,O9735.FNC,5,100,0,0,100,0.0,687626.376999998,6,75.6053960988366,5,455.76380846048,37,-275.102998686275,-3521.333333333333,29.0,NONE,14.437666666666669,59.99,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8833333333333333,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,4200.0,800.0,5.3,30.3,0.1,134.5666666666667,600.0,100.0,6.9,23.3,0.2,200.0,100.0,4.2,22.7,0.0,4900.0,500.0,9.3,25.3,0.0,400.0,100.0,5.9,23.9,0.0,500.0,200.0,3.0,27.6,0.1
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,564,2025-07-10 15:31:25.284310,21,0.0001678978379824,567,1,8,30.0005,AUTO,21,ARMED,100,390.6333,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,6,100,0,27,100,2051.93567662779,687626.376999998,30,375.592737850619,17,290.060951592673,37,-275.103010129205,207.66666666666663,8.776666666666666,NONE,14.437666666666669,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.3899999999999999,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,6500.0,1800.0,3.6,30.3,0.1,132.66666666666666,1300.0,100.0,9.4,23.2,0.2,4400.0,600.0,8.0,22.7,0.1,19800.0,3100.0,6.5,25.3,0.2,2400.0,500.0,4.9,23.9,0.0,9400.0,900.0,9.9,27.6,0.1
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,565,2025-07-10 15:31:26.284510,21,0.0001678978379824,570,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,6,100,0,16,100,5135.9588266863,687626.376999998,5,377.235410175979,6,289.152498556593,29,-374.307725105936,3092.0,28.3,NONE,14.437666666666669,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,1.0,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,7100.0,2100.0,3.4,30.3,0.3,131.1,200.0,100.0,3.7,23.2,0.1,300.0,100.0,3.7,22.7,0.1,3400.0,1200.0,2.8,25.3,0.2,3700.0,400.0,9.9,23.9,0.1,7200.0,600.0,12.4,27.6,0.2
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,566,2025-07-10 15:31:27.284663,21,0.0001678978379824,570,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,8,100,0,11,100,7281.57128917207,687626.376999998,5,377.235410175979,5,289.152498556593,30,-374.307793771098,5809.666666666667,48.35333333333333,NONE,14.439333333333332,59.99,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8966666666666666,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,10200.0,2800.0,3.7,30.3,0.2,129.60000000000002,300.0,100.0,3.8,23.2,0.1,400.0,100.0,3.9,22.7,0.1,3900.0,1300.0,3.0,25.3,0.3,1300.0,300.0,4.4,23.9,0.1,800.0,200.0,4.7,27.6,0.1
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,567,2025-07-10 15:31:28.284813,21,0.0001678978379824,570,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,9,100,0,7,100,8731.11956155429,687626.376999998,5,377.235410175979,5,289.152498556593,30,-374.307862436259,5876.333333333333,48.85999999999999,NONE,14.440333333333331,59.99,7606F116-3463-4EEF-96CC-1AC408FAA001,0.9266666666666667,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,7900.0,2400.0,3.4,30.3,0.3,129.53333333333333,300.0,100.0,3.4,23.2,0.1,400.0,100.0,3.5,22.7,0.1,3400.0,1200.0,2.8,25.3,0.3,1000.0,300.0,3.6,23.9,0.1,1100.0,400.0,2.7,27.6,0.4
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,568,2025-07-10 15:31:29.285021,21,0.0001678978379824,572,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,9,100,0,6,100,10000.0,687626.376999998,9,386.548851845819,7,286.150097951053,31,-377.307591580139,5356.333333333333,44.54,NONE,14.442666666666668,59.99,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8833333333333333,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,7500.0,2200.0,3.3,30.3,0.6,129.8,600.0,100.0,4.8,23.2,0.5,500.0,100.0,3.7,22.7,0.1,5000.0,1800.0,2.8,25.3,0.7,1400.0,400.0,3.3,23.9,0.2,2800.0,1400.0,2.0,27.6,1.4
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,569,2025-07-10 15:31:30.285237,21,0.0001678978379824,574,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,11,100,0,0,100,10000.0,687626.376999998,9,409.709045671906,9,284.190516881089,31,-377.307477138202,4742.333333333333,39.473333333333336,NONE,14.443666666666669,59.99,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8833333333333333,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,3500.0,1100.0,3.2,30.3,0.5,130.2,500.0,100.0,4.6,23.2,0.1,500.0,100.0,3.4,22.7,0.1,3900.0,1400.0,2.7,25.3,0.6,1000.0,300.0,3.6,23.9,0.2,3100.0,1800.0,1.8,27.6,1.7
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,570,2025-07-10 15:31:31.285438,21,0.0001678978379824,575,1,8,30.0005,AUTO,21,ARMED,100,25.36667,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,11,100,0,0,100,10000.0,687626.376999998,6,429.927545285477,9,268.64285695013,33,-377.307557247558,1026.0,9.09,NONE,14.443666666666669,59.99,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8233333333333333,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,3800.0,1100.0,3.6,30.4,0.5,132.1,400.0,100.0,4.3,23.2,0.5,600.0,200.0,3.7,22.7,0.1,4200.0,1500.0,2.8,25.3,0.6,900.0,300.0,3.6,23.9,0.2,3000.0,1800.0,1.7,27.6,1.7
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,571,2025-07-10 15:31:32.285629,21,0.0001678978379824,576,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,13,100,0,0,100,10000.0,687626.376999998,7,431.528649525367,9,247.00626052112,32,-377.307465694009,1014.6666666666666,8.693333333333333,NONE,14.443666666666669,59.99,7606F116-3463-4EEF-96CC-1AC408FAA001,0.88,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,3800.0,1100.0,3.5,30.4,0.5,132.13333333333335,400.0,100.0,3.8,23.2,0.5,600.0,200.0,3.5,22.7,0.1,4300.0,1500.0,2.8,25.3,0.5,1000.0,300.0,3.6,23.9,0.2,3100.0,1800.0,1.7,27.6,1.7
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,572,2025-07-10 15:31:33.285975,21,0.0001678978379824,578,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,14,100,0,0,100,10000.0,687626.376999998,9,417.260596830653,6,224.769710517358,32,-377.307534359171,1016.3333333333334,8.713333333333333,NONE,14.444333333333333,59.99,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8833333333333334,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,3500.0,1100.0,3.3,30.4,0.5,132.16666666666666,500.0,100.0,4.2,23.2,0.1,500.0,100.0,3.4,22.7,0.1,4000.0,1500.0,2.7,25.3,0.6,1000.0,300.0,3.9,23.9,0.2,3100.0,1800.0,1.7,27.6,1.7
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,573,2025-07-10 15:31:34.286189,21,0.0001678978379824,579,1,8,30.0005,AUTO,21,ARMED,100,25.38333,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,15,100,0,0,100,10000.0,687626.376999998,8,394.472414751492,7,218.177179722847,31,-377.307397028847,1018.0,8.733333333333334,NONE,14.444666666666668,59.99,7606F116-3463-4EEF-96CC-1AC408FAA001,0.88,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,3400.0,1100.0,3.2,30.4,0.5,132.13333333333335,500.0,100.0,4.6,23.2,0.5,500.0,100.0,3.3,22.7,0.1,5500.0,1400.0,3.9,25.3,0.6,1000.0,300.0,3.8,23.9,0.2,3100.0,1800.0,1.7,27.6,1.7
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,574,2025-07-10 15:31:35.286404,21,0.0001678978379824,580,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,15,100,0,1,100,10000.0,687626.376999998,9,371.467791262107,4,218.977302989064,32,-377.307442805622,1017.3333333333334,8.709999999999999,NONE,14.444666666666668,59.99,7606F116-3463-4EEF-96CC-1AC408FAA001,0.88,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,3900.0,1100.0,3.6,30.4,0.5,132.13333333333335,400.0,100.0,3.7,23.2,0.5,500.0,100.0,3.1,22.7,0.1,3800.0,1400.0,2.7,25.3,0.6,1000.0,300.0,3.7,23.9,0.2,3100.0,1800.0,1.7,27.6,1.7
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,575,2025-07-10 15:31:36.286574,21,0.0001678978379824,582,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,17,100,0,0,100,10000.0,687626.376999998,8,346.170073926762,8,223.162684627019,33,-377.307557247558,1015.6666666666666,8.703333333333333,NONE,14.445,60.0,7606F116-3463-4EEF-96CC-1AC408FAA001,0.88,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,3800.0,1100.0,3.6,30.4,0.5,132.1,400.0,100.0,3.8,23.2,0.1,500.0,200.0,3.4,22.7,0.1,3900.0,1500.0,2.7,25.3,0.6,1000.0,300.0,3.9,23.9,0.2,3200.0,1900.0,1.7,27.6,1.8
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,576,2025-07-10 15:31:37.286741,21,0.0001678978379824,583,1,8,30.0005,AUTO,21,ARMED,100,25.38333,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,18,100,0,0,100,10000.0,687626.376999998,3,330.703258656727,8,239.258649414535,32,-377.307534359171,1011.0,8.656666666666666,NONE,14.445333333333332,60.0,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8833333333333334,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,3700.0,1100.0,3.4,30.4,0.5,132.13333333333335,400.0,100.0,4.1,23.2,0.5,600.0,200.0,3.5,22.7,0.1,3900.0,1500.0,2.5,25.3,0.6,1000.0,300.0,3.7,23.9,0.2,3100.0,1800.0,1.7,27.6,1.8
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,577,2025-07-10 15:31:38.286955,21,0.0001678978379824,584,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,19,100,0,0,100,10000.0,687626.376999998,7,330.746963330091,7,265.598908320323,33,-377.307603024332,1019.0,8.736666666666666,NONE,14.446,60.0,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8766666666666666,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,3600.0,1100.0,3.4,30.4,0.5,132.20000000000002,400.0,100.0,3.9,23.2,0.5,600.0,200.0,3.8,22.7,0.1,4100.0,1500.0,2.8,25.3,0.5,1000.0,300.0,3.6,23.9,0.2,3200.0,1800.0,1.8,27.6,1.7
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,578,2025-07-10 15:31:39.287107,21,0.0001678978379824,586,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,20,100,0,0,100,10000.0,687626.376999998,8,345.930289323912,7,281.83145219034,33,-377.307431361428,1020.6666666666666,8.77,NONE,14.446,60.0,7606F116-3463-4EEF-96CC-1AC408FAA001,0.88,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,3800.0,1100.0,3.5,30.4,0.5,132.13333333333335,400.0,100.0,3.9,23.2,0.1,500.0,200.0,3.2,22.7,0.1,3700.0,1400.0,2.6,25.3,0.6,1000.0,300.0,3.6,23.9,0.2,3200.0,1800.0,1.7,27.6,1.8
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,579,2025-07-10 15:31:40.287302,21,0.0001678978379824,588,1,8,30.0005,AUTO,21,ARMED,100,23.18333,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,21,100,0,1,100,10000.0,687626.376999998,7,366.484752659918,10,286.849945880852,31,-377.307603024332,1017.6666666666666,8.713333333333333,NONE,14.446,60.0,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8733333333333334,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,3500.0,1100.0,3.2,30.4,0.5,132.23333333333332,400.0,100.0,4.0,23.2,0.4,500.0,100.0,3.4,22.7,0.1,2900.0,1300.0,2.1,25.3,0.5,1000.0,300.0,3.5,23.9,0.2,3100.0,1800.0,1.7,27.6,1.7
lid_p2,01,Al6061_lid01_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,580,2025-07-10 15:31:41.287619,21,0.0001678978379824,591,1,8,30.0005,AUTO,21,ARMED,100,40.0,5,2582204.421,1,000473_A_A_PROGRAM_2.NC,21,100,0,1,100,10000.0,687626.376999998,6,383.575384229367,6,289.152641734802,40,-367.519523760268,1015.0,8.709999999999999,NONE,14.446333333333332,60.0,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8733333333333334,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.288,3500.0,1100.0,3.3,30.4,0.6,132.16666666666666,300.0,100.0,3.2,23.2,0.1,400.0,100.0,3.5,22.7,0.1,4500.0,1900.0,2.4,25.3,0.5,3000.0,400.0,7.5,23.9,0.2,14800.0,2500.0,6.0,27.6,1.6
lid_p2,02,Al6061_lid02_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,500,2025-07-10 15:41:20.399423,21,0.0001678978379824,567,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2582564.889,2,000473_A_A_PROGRAM_2.NC,2,100,0,0,100,135.838081946931,687986.487,83,108.656021841247,39,437.508027809589,37,-275.102998686275,-16.0,13.926666666666668,NONE,14.620333333333331,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.04,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.3013333333333334,7300.0,1600.0,4.6,32.0,0.1,132.6,1600.0,400.0,3.5,23.1,0.3,4000.0,1000.0,4.2,22.8,0.1,23600.0,7600.0,3.1,25.5,0.3,2700.0,500.0,5.1,24.2,0.0,700.0,200.0,3.5,28.3,0.1
lid_p2,02,Al6061_lid02_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,501,2025-07-10 15:41:21.399694,21,0.0001678978379824,568,1,8,30.0005,AUTO,21,ARMED,100,316.5,5,2582564.889,2,000473_A_A_PROGRAM_2.NC,3,100,0,22,100,3861.48165886047,687986.487,5,377.23544450799,6,289.152429891318,24,-340.64021959767,3402.0,26.926666666666662,NONE,14.620333333333331,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.96,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.3013333333333334,8500.0,2100.0,4.0,32.0,0.2,130.7,200.0,100.0,4.3,23.1,0.1,1100.0,200.0,6.1,22.8,0.0,3200.0,1200.0,2.6,25.5,0.2,21600.0,3200.0,6.7,24.2,0.1,56500.0,8500.0,6.7,28.3,0.8
lid_p2,02,Al6061_lid02_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,502,2025-07-10 15:41:22.400002,21,0.0001678978379824,570,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2582564.889,2,000473_A_A_PROGRAM_2.NC,4,100,0,14,100,6254.378957116,687986.487,5,377.235398731975,6,289.152498556593,30,-374.307793771098,5780.333333333333,47.97666666666667,NONE,14.621666666666664,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.93,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.3013333333333334,9300.0,2400.0,3.9,32.0,0.2,129.33333333333334,200.0,100.0,3.9,23.1,0.1,400.0,100.0,3.8,22.8,0.1,3400.0,1200.0,2.9,25.5,0.2,1300.0,300.0,4.0,24.2,0.1,600.0,200.0,4.1,28.3,0.2
lid_p2,02,Al6061_lid02_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,503,2025-07-10 15:41:23.400324,21,0.0001678978379824,570,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2582564.889,2,000473_A_A_PROGRAM_2.NC,5,100,0,10,100,7989.48322662179,687986.487,5,377.235410175979,6,289.152498556593,30,-374.307793771098,5872.0,48.97333333333333,NONE,14.623000000000005,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.9266666666666667,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.3013333333333334,11300.0,3300.0,3.4,32.0,0.3,129.33333333333334,300.0,100.0,3.2,23.1,0.1,400.0,100.0,3.3,22.8,0.1,3800.0,1300.0,3.0,25.5,0.3,1100.0,300.0,4.0,24.2,0.1,900.0,200.0,3.7,28.3,0.3
lid_p2,02,Al6061_lid02_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,504,2025-07-10 15:41:24.400634,21,0.0001678978379824,570,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2582564.889,2,000473_A_A_PROGRAM_2.NC,6,100,0,7,100,10000.0,687986.487,5,377.235410175979,6,289.152498556593,30,-374.711087154346,5277.333333333333,43.99666666666667,NONE,14.625,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8833333333333333,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.3013333333333334,8500.0,2200.0,3.8,32.0,0.5,129.63333333333335,400.0,100.0,3.4,23.1,0.5,500.0,100.0,3.7,22.8,0.1,4400.0,1400.0,3.2,25.5,0.5,1700.0,300.0,5.0,24.2,0.1,3100.0,900.0,3.6,28.3,0.8
lid_p2,02,Al6061_lid02_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,505,2025-07-10 15:41:25.400925,21,0.0001678978379824,573,1,8,30.0005,AUTO,21,ARMED,100,25.38333,5,2582564.889,2,000473_A_A_PROGRAM_2.NC,7,100,0,5,100,10000.0,687986.487,9,393.965027342694,6,286.582063374783,32,-377.307557247558,4678.0,39.013333333333335,NONE,14.625333333333336,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.88,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.3013333333333334,7300.0,1500.0,4.7,32.0,0.5,130.03333333333333,500.0,100.0,4.7,23.1,0.5,500.0,100.0,3.2,22.8,0.1,4600.0,1800.0,2.5,25.5,0.7,1400.0,400.0,4.0,24.2,0.2,2800.0,1600.0,1.8,28.3,1.5
lid_p2,02,Al6061_lid02_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,506,2025-07-10 15:41:26.401166,21,0.0001678978379824,574,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2582564.889,2,000473_A_A_PROGRAM_2.NC,8,100,0,0,100,10000.0,687986.487,6,419.886770860401,8,278.381738268913,31,-377.307580135945,1016.3333333333334,8.9,NONE,14.626666666666669,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.5633333333333334,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.3013333333333334,3900.0,1100.0,3.6,32.0,0.5,132.03333333333333,500.0,100.0,4.5,23.1,0.5,500.0,200.0,3.5,22.8,0.1,3900.0,1500.0,2.6,25.5,0.6,1000.0,300.0,3.7,24.2,0.2,2800.0,1600.0,1.8,28.3,1.5
lid_p2,02,Al6061_lid02_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,507,2025-07-10 15:41:27.401517,21,0.0001678978379824,576,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2582564.889,2,000473_A_A_PROGRAM_2.NC,9,100,0,0,100,10000.0,687986.487,8,431.418494424032,9,258.742886052069,31,-377.307591580139,1015.0,8.716666666666667,NONE,14.626666666666669,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8766666666666666,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.3013333333333334,4400.0,1100.0,4.0,32.0,0.5,132.03333333333333,300.0,100.0,3.2,23.1,0.1,600.0,200.0,3.4,22.8,0.1,4600.0,1600.0,2.9,25.5,0.6,1100.0,300.0,3.9,24.2,0.2,2800.0,1600.0,1.8,28.3,1.6
lid_p2,02,Al6061_lid02_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,508,2025-07-10 15:41:28.401814,21,0.0001678978379824,577,1,8,30.0005,AUTO,21,ARMED,100,25.38333,5,2582564.889,2,000473_A_A_PROGRAM_2.NC,10,100,0,0,100,10000.0,687986.487,11,428.386036529501,6,233.617266117974,33,-377.307477138202,1015.0,8.716666666666667,NONE,14.626666666666669,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8766666666666666,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.3013333333333334,3700.0,1100.0,3.4,32.0,0.5,132.03333333333333,500.0,100.0,4.1,23.1,0.5,600.0,200.0,3.4,22.8,0.1,4100.0,1500.0,2.8,25.5,0.5,1100.0,300.0,3.9,24.2,0.2,2900.0,1600.0,1.8,28.3,1.6
lid_p2,02,Al6061_lid02_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,509,2025-07-10 15:41:29.401962,21,0.0001678978379824,578,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2582564.889,2,000473_A_A_PROGRAM_2.NC,11,100,0,1,100,10000.0,687986.487,8,407.826302347649,7,220.32651321302,31,-377.307419917234,1013.3333333333334,8.653333333333332,NONE,14.626666666666669,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8833333333333334,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.3013333333333334,4000.0,1100.0,3.7,32.0,0.5,132.03333333333333,500.0,100.0,4.5,23.1,0.5,600.0,200.0,3.5,22.8,0.1,4300.0,1500.0,2.9,25.5,0.6,1100.0,300.0,3.8,24.2,0.2,2900.0,1600.0,1.8,28.3,1.6
lid_p2,02,Al6061_lid02_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,510,2025-07-10 15:41:30.402243,21,0.0001678978379824,580,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2582564.889,2,000473_A_A_PROGRAM_2.NC,12,100,0,0,100,10000.0,687986.487,8,383.246989179029,5,218.977371649527,32,-377.30750002659,1013.0,8.693333333333333,NONE,14.628,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.88,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.3013333333333334,3700.0,1100.0,3.4,32.0,0.6,132.03333333333333,400.0,100.0,3.2,23.1,0.1,500.0,100.0,3.1,22.8,0.1,2600.0,1400.0,1.9,25.5,0.6,1000.0,300.0,3.7,24.2,0.2,2800.0,1600.0,1.7,28.3,1.6
lid_p2,02,Al6061_lid02_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,511,2025-07-10 15:41:31.402498,21,0.0001678978379824,581,1,8,30.0005,AUTO,21,ARMED,100,25.38333,5,2582564.889,2,000473_A_A_PROGRAM_2.NC,13,100,0,0,100,10000.0,687986.487,9,361.800547046024,7,217.002513629066,33,-377.307534359171,1011.0,8.686666666666667,NONE,14.628,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8833333333333334,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.3013333333333334,4000.0,1100.0,3.7,32.0,0.6,132.03333333333333,400.0,100.0,4.1,23.1,0.5,500.0,200.0,3.0,22.8,0.2,3500.0,1500.0,2.3,25.5,0.6,1000.0,300.0,3.5,24.2,0.2,3000.0,1700.0,1.8,28.3,1.6
lid_p2,02,Al6061_lid02_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,16,512,2025-07-10 15:41:32.402760,21,0.0001678978379824,582,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2582564.889,2,000473_A_A_PROGRAM_2.NC,14,100,0,0,100,10000.0,687986.487,9,334.888693850871,7,231.823493813665,31,-377.307557247558,1015.6666666666666,8.733333333333333,NONE,14.628,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8866666666666667,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,0.3013333333333334,3800.0,1100.0,3.5,32.0,0.5,132.00000000000003,400.0,100.0,4.2,23.1,0.5,500.0,200.0,3.1,22.8,0.1,4100.0,1500.0,2.6,25.5,0.6,1000.0,300.0,3.9,24.2,0.2,3000.0,1700.0,1.7,28.3,1.6
